Ensembl ID;Genes;Transcript Start;Transcript End;Chromosome;CCDS.ID;RefSeq
ENSMUST00000001480;Npepps;97205844;97280638;11;CCDS25317;NM_008942
ENSMUST00000001485;Mrpl10;97041560;97049213;11;CCDS25312;NM_026154
ENSMUST00000001520;Afg3l1;123477903;123503916;8;CCDS22760;NM_054070
ENSMUST00000001559;Itfg2;128409444;128424931;6;CCDS20572;NM_133927
ENSMUST00000001565;Gtf2h4;35667730;35673739;17;CCDS28702;NM_010364
ENSMUST00000001569;Flot1;35823230;35832791;17;CCDS28705;NM_008027
ENSMUST00000001611;Nom1;29434664;29457843;5;CCDS19149;NM_001033457
ENSMUST00000001712;Cabin1;75646112;75764316;10;CCDS35938;NM_172549
ENSMUST00000001724;Ddx18;121553835;121567989;1;CCDS15240;NM_025860
ENSMUST00000001757;Eef1e1;38644207;38659058;13;CCDS26465;NM_025380
ENSMUST00000001780;Akt1;112653821;112674276;12;CCDS26194;"NM_001331107; NM_009652; NM_001165894"
ENSMUST00000001806;Coasy;101082565;101086619;11;CCDS25446;NM_001305982
ENSMUST00000001809;Pabpc1;36595661;36608973;15;CCDS27431;NM_008774
ENSMUST00000001818;Crnkl1;145917479;145935014;2;CCDS16828;NM_025820
ENSMUST00000001825;Chordc1;18292125;18317442;9;CCDS22842;NM_025844
ENSMUST00000001834;Rtcb;85938637;85957823;10;CCDS24094;NM_145422
ENSMUST00000001836;Pwp1;85871831;85889096;10;CCDS24092;NM_133993
ENSMUST00000001950;Tollip;141881583;141902487;7;CCDS22020;"NM_023764; NM_001347562"
ENSMUST00000001989;Uba1;20662898;20683179;X;CCDS30044;NM_001136085
ENSMUST00000002029;Emd;74254687;74257887;X;CCDS30222;NM_007927
ENSMUST00000002043;Ccdc47;106197408;106216344;11;CCDS25551;NM_026009
ENSMUST00000002063;Ap4e1;127008730;127067909;2;CCDS38231;NM_175550
ENSMUST00000002091;Bcap31;73686178;73716175;X;CCDS30209;"NM_001313698; NM_012060"
ENSMUST00000002121;Supt6;78206746;78245987;11;CCDS25095;NM_009297
ENSMUST00000002133;Sdf2;78245746;78255496;11;CCDS25096;NM_009143
ENSMUST00000002198;Sf3a1;4160350;4182541;11;CCDS24380;NM_026175
ENSMUST00000002275;Vrk3;44748413;44777515;7;CCDS21214;NM_133945
ENSMUST00000002280;Smg9;24399619;24422778;7;CCDS20949;NM_028047
ENSMUST00000002289;Uchl3;101653994;101696125;14;CCDS27313;NM_016723
ENSMUST00000002291;Paxip1;27740080;27791550;5;CCDS39039;NM_018878
ENSMUST00000002292;Rmnd5a;71388634;71440637;6;CCDS20231;NM_024288
ENSMUST00000002350;Narfl;25773776;25783332;17;CCDS50034;NM_026238
ENSMUST00000002397;Gmpr2;55672235;55679200;14;CCDS27124;NM_177992
ENSMUST00000002400;Mdp1;55657879;55660508;14;CCDS27123;NM_023397
ENSMUST00000002403;Dhrs1;55739020;55745690;14;CCDS36934;NM_026819
ENSMUST00000002445;Ranbp3;56673358;56711764;17;CCDS28911;"NM_001252467; NM_027933"
ENSMUST00000002473;Babam1;71396861;71404619;8;CCDS40381;NM_026636
ENSMUST00000002487;Braf;39603237;39725463;6;CCDS39463;NM_139294
ENSMUST00000002551;Snrpd1;10617775;10628230;18;CCDS29056;NM_009226
ENSMUST00000002599;Puf60;76070190;76080912;15;CCDS37111;"NM_133691; NM_001164600"
ENSMUST00000002683;Ccdc97;25711106;25719088;7;CCDS20994;NM_028771
ENSMUST00000002699;Akap8;32303672;32321185;17;CCDS37555;NM_019774
ENSMUST00000002710;Pdcd2l;34184499;34196661;7;CCDS21137;NM_026549
ENSMUST00000002733;Gtf2f1;57003405;57011288;17;CCDS37667;NM_133801
ENSMUST00000002735;Clpp;56990305;56996188;17;CCDS28920;NM_017393
ENSMUST00000002790;Cse1l;166906059;166946389;2;CCDS17092;NM_023565
ENSMUST00000002808;Prkra;76629898;76648015;2;CCDS16159;NM_011871
ENSMUST00000002818;Ykt6;5955693;5967780;11;CCDS24410;NM_019661
ENSMUST00000002825;Baz1b;135187264;135246129;5;CCDS19736;NM_011714
ENSMUST00000002839;Ppp2r5d;46682991;46705002;17;CCDS28836;NM_009358
ENSMUST00000002845;Mea1;46681124;46683111;17;CCDS28835;NM_010787
ENSMUST00000002855;Kdelr1;45872772;45883732;7;CCDS21268;NM_133950
ENSMUST00000002889;Flii;60714143;60727263;11;CCDS24795;"NM_022009; NM_001302207"
ENSMUST00000002891;Top3a;60740058;60777365;11;CCDS24797;NM_009410
ENSMUST00000002902;Qtrt1;21411837;21420274;9;CCDS52735;NM_021888
ENSMUST00000002923;Adprh;38444030;38452703;16;CCDS28167;NM_007414
ENSMUST00000002925;Timmdc1;38498347;38522663;16;CCDS28169;NM_024273
ENSMUST00000002989;Arrdc2;70835129;70839720;8;CCDS40376;NM_027560
ENSMUST00000003117;Ap1m1;72240018;72257385;8;CCDS22411;NM_007456
ENSMUST00000003121;Rab8a;72161200;72183904;8;CCDS22409;NM_023126
ENSMUST00000003123;Fam32a;72219730;72224418;8;CCDS52595;NM_026455
ENSMUST00000003183;Ppp5c;17004640;17027916;7;CCDS20859;NM_011155
ENSMUST00000003219;Cnot11;39535802;39546873;1;CCDS14906;NM_028043
ENSMUST00000003268;Sh3gl1;56016750;56036635;17;CCDS28891;NM_013664
ENSMUST00000003310;Ranbp2;58446922;58494356;10;CCDS23861;NM_011240
ENSMUST00000003319;Abcf3;20548577;20561379;16;CCDS28049;NM_013852
ENSMUST00000003320;Eif2b5;20498817;20509323;16;CCDS28047;NM_172265
ENSMUST00000003386;Mrpl4;21002738;21008839;9;CCDS40548;NM_023167
ENSMUST00000003450;Ddx23;98645134;98662889;15;CCDS37193;NM_001080981
ENSMUST00000003493;Prkcsh;22003018;22014222;9;CCDS22918;"NM_008925; NM_001293651"
ENSMUST00000003513;Nosip;45062456;45078210;7;CCDS21228;NM_025533
ENSMUST00000003527;Supt5;28314894;28338719;7;CCDS39857;NM_013676
ENSMUST00000003529;Paf1;28392951;28399388;7;CCDS21043;NM_019458
ENSMUST00000003572;Gars;55038007;55079500;6;CCDS39492;NM_180678
ENSMUST00000003705;Aven;112492964;112634573;2;CCDS16557;NM_028844
ENSMUST00000003720;Crot;8966033;8997324;5;CCDS19087;NM_023733
ENSMUST00000003759;Ciao1;127240938;127247816;2;CCDS16696;NM_025296
ENSMUST00000003818;Insig2;121304353;121328024;1;CCDS15236;NM_133748
ENSMUST00000003912;Calr;84841850;84846934;8;CCDS22479;NM_007591
ENSMUST00000003946;Nob1;107412489;107425049;8;CCDS22649;NM_026277
ENSMUST00000004054;Kpna1;35983315;36037131;16;CCDS28144;NM_008465
ENSMUST00000004143;Stat5b;100780731;100850724;11;CCDS25438;NM_001113563
ENSMUST00000004173;Cdip1;4765461;4789990;16;CCDS27925;"NM_025670; NM_001358078; NM_001358082; NM_001358080; NM_001358079"
ENSMUST00000004200;Cwc15;14500617;14510577;9;CCDS22823;NM_023153
ENSMUST00000004206;Eif3g;20894349;20898623;9;CCDS40547;NM_016876
ENSMUST00000004222;Hira;18877066;18970309;16;CCDS28031;NM_010435
ENSMUST00000004343;Wars2;99141068;99220203;3;CCDS17672;NM_027462
ENSMUST00000004375;Phb2;124712336;124716950;6;CCDS39627;NM_007531
ENSMUST00000004379;Emg1;124704381;124712178;6;CCDS20524;NM_013536
ENSMUST00000004470;Utp20;88746607;88826804;10;CCDS48667;NM_175158
ENSMUST00000004494;Sin3b;72723288;72758201;8;CCDS52599;NM_009188
ENSMUST00000004507;Ddx56;6258919;6267772;11;CCDS24414;NM_026538
ENSMUST00000004508;Tmed4;6270369;6274870;11;CCDS24415;NM_134020
ENSMUST00000004574;Dnajb11;22857845;22872388;16;CCDS28070;NM_001190804
ENSMUST00000004614;Zfp110;12834761;12850577;7;CCDS20814;NM_022981
ENSMUST00000004683;Mcoln1;3500457;3515232;8;CCDS22063;NM_053177
ENSMUST00000004786;Polr2e;80035949;80039795;10;CCDS35972;NM_025554
ENSMUST00000004910;Eif2b2;85219481;85226628;12;CCDS26053;NM_145445
ENSMUST00000004920;Ulk2;61775649;61855073;11;CCDS24820;NM_013881
ENSMUST00000004949;Traf6;101678440;101701669;2;CCDS16464;"NM_001303273; NM_009424"
ENSMUST00000004965;Chmp2b;65539128;65562726;16;CCDS28269;NM_026879
ENSMUST00000005015;Prcc;87858903;87885608;3;CCDS17456;NM_033573
ENSMUST00000005017;Hdgf;87906321;87916132;3;CCDS17457;NM_008231
ENSMUST00000005041;U2af2;5062143;5079938;7;CCDS85208;NM_133671
ENSMUST00000005053;Tmem242;5410870;5440243;17;CCDS49930;NM_027457
ENSMUST00000005057;Thop1;81070035;81082559;10;CCDS24042;NM_022653
ENSMUST00000005066;Map2k1;64185770;64253631;9;CCDS23277;NM_008927
ENSMUST00000005067;Sgta;81044075;81060178;10;CCDS35990;NM_024499
ENSMUST00000005108;Kdm5a;120364124;120444574;6;CCDS51889;NM_145997
ENSMUST00000005234;Wdr1;38526813;38561806;5;CCDS51485;NM_011715
ENSMUST00000005336;Senp3;69673115;69681846;11;CCDS24905;NM_030702
ENSMUST00000005487;Txn2;77915047;77929006;15;CCDS27606;NM_019913
ENSMUST00000005600;Rfx1;84066836;84096992;8;CCDS22468;NM_009055
ENSMUST00000005705;Trim28;13024152;13031035;7;CCDS20823;NM_011588
ENSMUST00000005711;Chmp2a;13032014;13034807;7;CCDS20824;"NM_026885; NM_001360731"
ENSMUST00000005749;Ctr9;111028951;111056377;7;CCDS21750;NM_009431
ENSMUST00000005798;Snx6;54746349;54795703;12;CCDS36447;NM_026998
ENSMUST00000005825;Pan2;128303335;128321353;10;CCDS24271;NM_133992
ENSMUST00000005841;Ctcf;105636579;105682922;8;CCDS22606;"NM_001358924; NM_181322"
ENSMUST00000005923;Psmb4;94884093;94886961;3;CCDS17597;NM_008945
ENSMUST00000005964;Adh5;138443093;138455499;3;CCDS17868;"NM_001288578; NM_007410"
ENSMUST00000006035;Ergic3;156008045;156018279;2;CCDS16959;"NM_025516; NM_001356414"
ENSMUST00000006103;Ctns;73183596;73199042;11;CCDS25001;"NM_001357892; NM_031251"
ENSMUST00000006137;Trap1;4039971;4077827;16;CCDS27914;NM_026508
ENSMUST00000006181;Napa;16098458;16117975;7;CCDS20843;NM_025898
ENSMUST00000006254;Tbcb;30224131;30232272;7;CCDS21083;NM_025548
ENSMUST00000006293;Crkl;17451987;17487434;16;CCDS28002;NM_007764
ENSMUST00000006353;Cdkal1;29325301;29855674;13;CCDS26412;NM_144536
ENSMUST00000006377;Zbtb17;141444654;141467225;4;CCDS18875;NM_009541
ENSMUST00000006451;Ttc5;50765415;50785519;14;CCDS36905;NM_001080949
ENSMUST00000006462;Aamp;74279840;74284738;1;CCDS15043;NM_146110
ENSMUST00000006478;Tmem147;30727705;30729540;7;CCDS39890;NM_027215
ENSMUST00000006611;Srm;148591503;148594619;4;CCDS18940;NM_009272
ENSMUST00000006625;Rbm14;4800569;4811634;19;CCDS29437;NM_019869
ENSMUST00000006701;Tmem110;30825590;30877210;14;CCDS26899;NM_028839
ENSMUST00000006774;Gtf2h1;46796103;46823800;7;CCDS21287;"NM_001360076; NM_001360075; NM_008186"
ENSMUST00000006911;Cdk4;127063534;127067920;10;CCDS24226;NM_009870
ENSMUST00000006915;Mettl1;127041932;127046365;10;CCDS24223;NM_010792
ENSMUST00000007042;Ik;36744656;36757639;18;CCDS57119;NM_011879
ENSMUST00000007046;Tmco6;36735068;36742397;18;CCDS37772;NM_028036
ENSMUST00000007139;Eif1b;120492491;120495330;9;CCDS23628;NM_026892
ENSMUST00000007251;Abhd16a;35089291;35102987;17;CCDS28681;NM_178592
ENSMUST00000007482;Mrpl49;6053622;6057785;19;CCDS29488;NM_026246
ENSMUST00000007559;Gatad1;3639961;3647934;5;CCDS19066;NM_026033
ENSMUST00000007708;Ppp2r1a;20945311;20965916;17;CCDS28432;NM_016891
ENSMUST00000007747;Dus3l;56764778;56769841;17;CCDS28914;NM_144858
ENSMUST00000007814;Khsrp;57021051;57031488;17;CCDS50157;NM_010613
ENSMUST00000007865;Ccdc124;70868227;70873935;8;CCDS22384;NM_026964
ENSMUST00000007921;0610009B22Rik;51685386;51688653;11;CCDS36149;NM_025319
ENSMUST00000007993;Rbm28;29123576;29165006;6;CCDS51733;NM_133925
ENSMUST00000008445;Phax;56572822;56587712;18;CCDS29259;NM_019996
ENSMUST00000008477;Snrpb2;143063039;143072853;2;CCDS16808;NM_021335
ENSMUST00000008517;Prpf31;3629985;3642486;7;CCDS39729;NM_027328
ENSMUST00000008573;Herpud2;25108132;25151820;9;CCDS22934;NM_020586
ENSMUST00000008748;Ubqln4;88553758;88569725;3;CCDS17479;NM_033526
ENSMUST00000008907;Man1a2;100562208;100685503;3;CCDS17676;NM_010763
ENSMUST00000009003;Rala;17880571;17944239;13;CCDS26255;NM_019491
ENSMUST00000009102;Vps72;95111022;95123051;3;CCDS38543;NM_009336
ENSMUST00000009138;Stk38;28970880;29007995;17;CCDS28589;NM_134115
ENSMUST00000009256;Bcl2l13;120836238;120892842;6;CCDS20485;NM_153516
ENSMUST00000009411;Zfp212;47920476;47932639;6;CCDS51761;"NM_001145881; NM_145576"
ENSMUST00000009550;Elk1;20933395;20950608;X;CCDS30048;NM_007922
ENSMUST00000009679;Rnmt;68300355;68324852;18;CCDS37852;"NM_001361003; NM_026440; NM_001361002"
ENSMUST00000009693;Srp14;118475850;118479711;2;CCDS16577;NM_009273
ENSMUST00000009699;Cdk9;32707438;32712784;2;CCDS15927;NM_130860
ENSMUST00000009774;Ppp2cb;33599625;33619441;8;CCDS22233;NM_017374
ENSMUST00000010198;Tusc2;107563255;107566112;9;CCDS23495;NM_019742
ENSMUST00000010201;Nprl2;107542226;107545706;9;CCDS23492;NM_018879
ENSMUST00000010241;Nxf1;8757073;8770922;19;CCDS29543;NM_016813
ENSMUST00000010278;Wdr77;105959369;105969760;3;CCDS17715;NM_027432
ENSMUST00000010421;2610507B11Rik;78261752;78290623;11;CCDS25097;NM_001002004
ENSMUST00000010434;AI597479;43098710;43115947;1;CCDS14921;NM_133818
ENSMUST00000010520;Nedd8;55662263;55672124;14;CCDS49498;
ENSMUST00000010536;Gosr1;76726602;76763579;11;CCDS25070;"NM_001356321; NM_016810"
ENSMUST00000011055;Apip;103073675;103092644;2;CCDS16474;NM_019735
ENSMUST00000011302;Brf1;112960085;113000704;12;CCDS49195;NM_028193
ENSMUST00000011450;Sugp1;70042813;70072347;8;CCDS22356;NM_027481
ENSMUST00000011492;Acad9;36065979;36092853;3;CCDS17310;NM_172678
ENSMUST00000011981;Snapc2;4253080;4256220;8;CCDS22081;NM_133968
ENSMUST00000012679;Tnpo3;29540827;29609887;6;CCDS19963;"NM_177296; NM_001347079"
ENSMUST00000012873;Zfp729b;67589439;67609707;13;CCDS56892;NM_001163246
ENSMUST00000013294;Gfod2;105713854;105758664;8;CCDS22612;NM_027469
ENSMUST00000013338;Arih2;108602942;108649380;9;CCDS23534;"NM_011790; NM_001357285; NM_001357283"
ENSMUST00000013693;Commd8;72156575;72168189;5;CCDS39108;"NM_001356612; NM_001356611; NM_178599; NM_001356613"
ENSMUST00000013807;Pten;32757497;32826160;19;CCDS29753;NM_008960
ENSMUST00000013966;Elof1;22112991;22117172;9;CCDS40559;"NM_001357311; NM_001357314"
ENSMUST00000013970;Pip4k2c;127197067;127211555;10;CCDS24232;NM_054097
ENSMUST00000014220;Tctex1d2;32419702;32429099;16;CCDS37312;NM_025329
ENSMUST00000014221;Chp1;119547697;119587027;2;CCDS16604;NM_019769
ENSMUST00000014321;Tvp23b;62879455;62895185;11;CCDS24834;NM_026210
ENSMUST00000014339;Dnajc7;100582818;100620168;11;CCDS25428;NM_019795
ENSMUST00000014370;Cacybp;160202367;160212875;1;CCDS15406;NM_009786
ENSMUST00000014499;Anapc1;128610104;128687391;2;CCDS16715;NM_008569
ENSMUST00000014614;Rnf166;122466147;122476064;8;CCDS22740;NM_001033142
ENSMUST00000014642;Ankrd52;128377119;128394006;10;CCDS24274;NM_172790
ENSMUST00000014684;U2af1;31647081;31658892;17;CCDS28611;NM_024187
ENSMUST00000014698;Dguok;83480217;83506969;6;CCDS20279;NM_013764
ENSMUST00000014750;Slc25a11;70644196;70647058;11;CCDS24958;NM_024211
ENSMUST00000014892;Tex261;83768885;83775813;6;CCDS20285;NM_009357
ENSMUST00000014913;Psmb1;15475021;15498298;17;CCDS28411;NM_011185
ENSMUST00000015003;E2f4;105297663;105305370;8;CCDS40456;NM_148952
ENSMUST00000015011;Surf4;26920040;26933928;2;CCDS15817;NM_011512
ENSMUST00000015146;Efr3a;65787040;65873816;15;CCDS27507;"NM_001356582; NM_133766"
ENSMUST00000015157;Trappc2l;122611646;122616660;8;CCDS22742;NM_021502
ENSMUST00000015239;Fbxw5;25500750;25505471;2;CCDS15778;"NM_001356408; NM_013908"
ENSMUST00000015333;Casd1;4600839;4643355;6;CCDS19896;NM_145398
ENSMUST00000015358;Mtmr1;71364760;71419196;X;CCDS30178;"NM_001313707; NM_016985; NM_001313703; NM_001313704; NM_001313706; NM_001313702"
ENSMUST00000015391;Nipsnap3b;53011880;53022060;4;CCDS18186;NM_025623
ENSMUST00000015433;Lage3;74352161;74353618;X;CCDS30229;NM_025410
ENSMUST00000015605;Atf6b;34647146;34655074;17;CCDS28655;NM_017406
ENSMUST00000015749;Srf;46548329;46556175;17;CCDS28831;NM_020493
ENSMUST00000015877;Capza2;17636983;17666972;6;CCDS19926;NM_007604
ENSMUST00000015891;Vps45;95999832;96058466;3;CCDS17628;NM_013841
ENSMUST00000015894;Aph1a;95893969;95898288;3;CCDS17624;NM_146104
ENSMUST00000015903;Cnih1;46775567;46788411;14;CCDS26980;NM_009919
ENSMUST00000016115;Actr8;29978337;29993219;14;CCDS26891;NM_027493
ENSMUST00000016463;Slc25a5;36795651;36798807;X;CCDS30062;NM_007451
ENSMUST00000016569;Pds5b;150673739;150810690;5;CCDS39412;NM_175310
ENSMUST00000016654;Mtif3;146954520;146963787;5;CCDS19874;"NM_001256100; NM_001256101"
ENSMUST00000016703;H3f3b;116021961;116024504;11;CCDS36377;NM_008211
ENSMUST00000016781;Ift27;78159463;78174107;15;CCDS37131;NM_025931
ENSMUST00000016897;Ttll1;83483769;83510893;15;CCDS27702;"NM_178869; NM_001357953"
ENSMUST00000016901;Ttll12;83575090;83595157;15;CCDS27706;NM_183017
ENSMUST00000017090;Kctd5;24047734;24073485;17;CCDS28473;NM_027008
ENSMUST00000017332;Coa3;101277968;101279114;11;CCDS25460;NM_026618
ENSMUST00000017354;Med24;98704591;98729435;11;CCDS25361;"NM_011869; NM_001361995"
ENSMUST00000017365;Psmd3;98682554;98695979;11;CCDS25359;NM_009439
ENSMUST00000017443;Dnttip1;164745983;164768607;2;CCDS17054;NM_133763
ENSMUST00000017572;Psmd11;80428625;80473248;11;CCDS25133;NM_178616
ENSMUST00000017891;Ghdc;100766032;100770957;11;CCDS25437;NM_031871
ENSMUST00000017908;Zswim1;164822686;164826871;2;CCDS17059;NM_028028
ENSMUST00000017975;Rab5a;53479234;53507680;17;CCDS28879;NM_025887
ENSMUST00000018002;Ift52;163017354;163046141;2;CCDS17005;NM_172150
ENSMUST00000018143;Ddx27;167015193;167034947;2;CCDS38336;NM_153065
ENSMUST00000018184;Rrp7a;83113433;83122801;15;CCDS27696;NM_029101
ENSMUST00000018333;Uchl5;143777281;143807466;1;CCDS78699;NM_001159866
ENSMUST00000018337;Cdc73;143598800;143702893;1;CCDS15341;NM_145991
ENSMUST00000018383;Zcchc10;53324679;53333301;11;CCDS24675;NM_026479
ENSMUST00000018430;Psmb6;70525386;70527649;11;CCDS48836;NM_008946
ENSMUST00000018431;Spag7;70663771;70669416;11;CCDS24962;"NM_001167669; NM_172561"
ENSMUST00000018470;Ywhab;163994960;164018588;2;CCDS17019;NM_018753
ENSMUST00000018478;Ksr1;79013440;79146407;11;CCDS25117;NM_013571
ENSMUST00000018549;Mrm1;84813061;84819515;11;CCDS36260;NM_145433
ENSMUST00000018568;Drg2;60454591;60468754;11;CCDS24791;NM_021354
ENSMUST00000018569;Dhx40;86768846;86807746;11;CCDS36268;NM_026191
ENSMUST00000018593;Rpain;70970213;70977833;11;CCDS24969;NM_027186
ENSMUST00000018625;Appbp2;85187262;85235130;11;CCDS25193;NM_025825
ENSMUST00000018691;Pip4k2b;97715157;97744704;11;CCDS25329;NM_054051
ENSMUST00000018727;G3bp1;55469685;55504838;11;CCDS24714;NM_013716
ENSMUST00000018795;Tada2a;84078920;84129600;11;CCDS25183;NM_172562
ENSMUST00000018805;Cog1;113649169;113662947;11;CCDS25599;NM_013581
ENSMUST00000018841;Aatf;84422855;84513522;11;CCDS25186;NM_019816
ENSMUST00000018851;Dync1h1;110601452;110666945;12;CCDS36559;NM_030238
ENSMUST00000018875;Ap2b1;83302483;83405035;11;CCDS25161;NM_001035854
ENSMUST00000018905;Mpdu1;69656697;69662642;11;CCDS24903;"NM_001301711; NM_011900"
ENSMUST00000018909;Fxr2;69632990;69653297;11;CCDS24901;NM_011814
ENSMUST00000018914;Atp5g3;73908447;73911326;2;CCDS16136;"NM_001301722; NM_175015"
ENSMUST00000018992;Rars;35808381;35834506;11;CCDS24544;NM_025936
ENSMUST00000019026;Mrpl45;97315716;97329920;11;CCDS25318;NM_025927
ENSMUST00000019044;Slc22a5;53864542;53891660;11;CCDS24687;"NM_011396; NM_001362711"
ENSMUST00000019065;Pelp1;70392883;70410028;11;CCDS24945;NM_029231
ENSMUST00000019109;Ywhah;33018816;33027966;5;CCDS19198;NM_011738
ENSMUST00000019118;Sart3;113742446;113772510;5;CCDS19552;"NM_001356623; NM_016926"
ENSMUST00000019143;Slc35b4;34153380;34177111;6;CCDS19989;NM_021435
ENSMUST00000019183;Dalrd3;108569886;108572774;9;CCDS40769;NM_026378
ENSMUST00000019317;Rab5c;100715011;100738215;11;CCDS79048;NM_001305003
ENSMUST00000019333;Rnf145;44518964;44565520;11;CCDS24565;"NM_028862; NM_001363166"
ENSMUST00000019441;Nop9;55745693;55755500;14;CCDS27126;NM_026403
ENSMUST00000019470;Psme3;101316213;101323537;11;CCDS25463;NM_011192
ENSMUST00000019482;Zfp687;95006702;95015238;3;CCDS17600;"NM_001357863; NM_030074"
ENSMUST00000019517;Cops3;59817795;59839838;11;CCDS24778;NM_011991
ENSMUST00000019605;Plscr3;69846676;69851043;11;CCDS24916;
ENSMUST00000019614;Xab2;3610087;3621316;8;CCDS22065;NM_026156
ENSMUST00000019615;Cdc37;21133222;21149982;9;CCDS22894;NM_016742
ENSMUST00000019662;Ap4m1;138172002;138180429;5;CCDS19794;NM_021392
ENSMUST00000019723;Mydgf;56175744;56183920;17;CCDS28898;NM_080837
ENSMUST00000019859;Gle1;29935426;29960371;2;CCDS15862;NM_028923
ENSMUST00000019878;Leng1;3660098;3665840;7;CCDS20722;NM_027203
ENSMUST00000019908;Mtrf1l;5811887;5823910;10;CCDS56684;NM_175374
ENSMUST00000019917;Rwdd1;33996555;34019624;10;CCDS23773;NM_025614
ENSMUST00000019927;Trmt11;30534225;30600749;10;CCDS23763;NM_028604
ENSMUST00000019937;Sec63;42761496;42832514;10;CCDS23815;"NM_001359284; NM_001359286; NM_153055; NM_001359283; NM_001359285"
ENSMUST00000019939;Snx3;42502031;42535370;10;CCDS23812;NM_017472
ENSMUST00000019944;Adat2;13552894;13563376;10;CCDS35847;NM_025748
ENSMUST00000019945;Pex3;13524116;13553139;10;CCDS23702;NM_019961
ENSMUST00000019950;Ltv1;13178140;13193168;10;CCDS35845;NM_181470
ENSMUST00000020004;Asf1a;53596952;53609225;10;CCDS23847;NM_025541
ENSMUST00000020008;Gopc;52337052;52382075;10;CCDS35898;NM_053187
ENSMUST00000020012;Qrsl1;43874188;43901745;10;CCDS35894;NM_001081054
ENSMUST00000020081;Zwint;72654845;72674964;10;CCDS23920;NM_001293683
ENSMUST00000020109;Actr6;89711971;89732295;10;CCDS24118;NM_025914
ENSMUST00000020112;Uhrf1bp1l;89744991;89819871;10;CCDS36028;NM_029166
ENSMUST00000020123;Tmpo;91160417;91171578;10;CCDS24122;NM_011605
ENSMUST00000020182;Pex7;19853900;19907689;10;CCDS23720;NM_008822
ENSMUST00000020227;Cry1;85131700;85185064;10;CCDS24089;NM_007771
ENSMUST00000020238;Hsp90b1;86690840;86705509;10;CCDS36019;NM_011631
ENSMUST00000020258;Herc4;63243911;63317874;10;CCDS23897;NM_026101
ENSMUST00000020285;Sar1a;61680310;61693297;10;CCDS23883;"NM_009120; NM_001358487; NM_001358488"
ENSMUST00000020312;Mcu;59446984;59616692;10;CCDS23866;NM_001033259
ENSMUST00000020315;Cand1;119199255;119240055;10;CCDS48701;NM_027994
ENSMUST00000020316;Tbk1;121546455;121586787;10;CCDS24212;NM_019786
ENSMUST00000020317;Pno1;17203198;17211568;11;CCDS24449;NM_025443
ENSMUST00000020339;Tbc1d15;115197872;115251467;10;CCDS24176;NM_025706
ENSMUST00000020341;2310011J03Rik;80318254;80320537;10;CCDS24017;NM_025521
ENSMUST00000020343;Rab21;115287084;115315591;10;CCDS24177;NM_024454
ENSMUST00000020381;Frs2;117069427;117148510;10;CCDS24190;NM_177798
ENSMUST00000020382;Yeats4;117215222;117224507;10;CCDS24191;NM_026570
